English,Hebrew
monument,"אנדרטה, מצבת זיכרון"
monumental,"עצום, אדיר; בעל ערך לדורות"
moral,"מוסר; מוסר השכל, לקח; מוסרי"
morality,מוסריות
more,יותר; עוד
mortal,בן-תמותה; קטלני
most,"הכי, ביותר"
motion,"תנועה, תזוזה; לסמן בתנועת יד"
motivate,"להניע, לשמש מניע ל-"
motive,"מניע, גורם"
mount,"לעלות על, לטפס"
mourn,להתאבל
move,"לזוז; להזיז; לרגש; תנועה, צעד"
movement,תנועה
much,"הרבה, מאוד"
mud,בוץ
muffled,עמום
multiplication,"כפל, הכפלה"
multiply,להכפיל; להתרבות
multitude,מספר גדול
mumble,למלמל
mundane,"משעמם, שגרתי; ארצי, גשמי"
municipality,רשות מקומית; עירייה
murmur,"למלמל; מלמול; המיה, רחש, רשרוש"
mutiny,"מרד, התקוממות"
mutter,למלמל
mutual,הדדי; משותף
mysterious,מסתורי
mystery,"תעלומה, מסתורין"
mystify,להוות תעלומה
myth,"מיתוס, אגדה"
namely,"כלומר, דהיינו"
narrate,"לספר, לקריין"
narrow,"צר; להצר, לצמצם"
nasty,"דוחה, מגעיל, מרושע"
nation,"אומה, עם"
national,"לאומי, ארצי"
native,"יליד, בן המקום; של מקום הלידה"
natural,טבעי
nature,"טבע, אופי"
naughty,"שובב, לא ממושמע"
navigate,לנווט
near,קרוב
nearby,בקרבת מקום; סמוּך
nearly,"כמעט, בקירוב"
necessarily,בהכרח
necessary,"הכרחי, נחוץ, חיוני"
necessity,"צורך, נחיצות"
need,"להיות זקוק; צורך, מצוקה"
negate,"לשלול, לסתור"
negative,שלילי
neglect,להזניח; להתרשל
neglected,מוזנח
negligence,"רשלנות, חוסר זהירות; הזנחה"
negligent,"רשלן, לא זהיר"
negligible,זניח
negotiable,פתוח למשא ומתן
negotiate,לנהל משא ומתן
negotiation,משא ומתן
neighbor,שכן
neighborhood,שכונה
nerve,"עצב; אומץ, העזה; חוצפה"
nervous,"עצבני; מתוח, נרגש"
neutral,"שאינו נוקט עמדה, ניטרלי"
noble,"אציל, אצילי"
nocturnal,לילי
nod,"להנהן, להניד ראש; הנהון, ניד ראש"
noise,רעש
noisy,"רועש, הומה"
nomad,נווד
nomadic,נוודי
nominate,להציע כמועמד; למנות
nomination,הצעת מועמד; מינוי
nominee,מועמד
nondescript,"לא מוגדר, חסר ייחוד"
none,אף אחד; בכלל לא
nonsense,שטויות
note,"לשים לב; לרשום, לציין; רשימה; פתק"
noteworthy,"ראוי לתשומת לב, ראוי לציון"
nothing,"כלום, שום דבר"
notice,"להבחין, לשים לב; הודעה; התראה"
notification,הודעה
notify,להודיע
notion,"רעיון, מושג, דעה"
notorious,ידוע לשמצה
nourish,להזין
nourishing,מזין
nourishment,"הזנה, מזון"
novel,"רומן, סיפור; חדש, רענן, מקורי"
novice,"טירון, מתחיל"
nowhere,בשום מקום
nuclear,גרעיני
nucleus,גרעין
nuisance,מטרד
null,בטל ומבוטל
nullify,לבטל תוקף
numb,"רדום, חסר תחושה"
numerical,מספרי
numerous,"הרבה, רב"
nurture,"לטפח, לגדל"
nutrition,תזונה
nutritious,מזין
obedience,צייתנות
obedient,צייתן
obese,שמן מאוד
obey,"לציית, להישמע ל-"
object,"להתנגד, למחות"
object,"חפץ, אובייקט; מושא; מטרה"
objection,"התנגדות, הסתייגות"
objective,"מטרה, יעד; אובייקטיבי"
obligation,חובה; התחייבות
obligatory,"מחייב, הכרחי"
oblige,"לחייב, לאלץ"
oblivion,שכחה
oblivious,"מתעלם מ-, אינו מודע ל-"
obscene,"מגונה, גס"
obscure,"להסתיר; לערפל, לטשטש; מוסתר, מעורפל; לא ברור"
observant,"בעל עין בוחנת, שם-לב"
observation,"התבוננות, הסתכלות; תצפית"
observe,"להתבונן, לצפות; להבחין ב-"
obsession,"אובססיה, שגעון לדבר אחד"
obsolete,"מיושן, שכבר אינו בשימוש"
obstacle,מכשול
obstinate,"עקשן, עיקש"
obstruct,"לחסום, להסתיר, להפריע, להכשיל, לעכב"
obstruction,"מכשול, הפרעה"
obtain,"להשיג, לרכוש"
obvious,ברור
occasion,"הזדמנות, אירוע, מקרה"
occasional,מזדמן; שמתרחש מדי פעם
occupation,"מקצוע, עיסוק; כיבוש"
occupy,לגור ב-; לתפוס; לכבוש
occur,"להתרחש, לקרות"
occurrence,"התרחשות, מאורע"
odd,"מוזר, משונה; אי-זוגי"
odor,ריח
offence,"עבירה; פגיעה, עלבון; התקפה"
offend,"לפגוע, להעליב"
offensive,"התקפי; מעליב, פוגע; מתקפה, אופנסיבה"
offer,להציע; הצעה
official,רשמי; פקיד רשמי
offspring,"צאצא, צאצאים"
old,ישן; זקן
old fashioned,"שמרני, מיושן, לא אופנתי"
omen,"אות מבשר, סימן"
ominous,מבשר רעות
omission,"השמטה, אי הכללה"
omit,"להשמיט, לא לכלול"
omniscient,בעל ידע בלתי מוגבל
on behalf,"מטעם, למען, בשם"
oncoming,"מתקרב, קרב"
operate,להפעיל; לפעול; לנתח
operation,פעולה; מבצע; ניתוח
opinion,דעה
opinionated,עקשן בדעותיו
opponent,"יריב, מתנגד"
opportunity,הזדמנות
oppose,להתנגד
opposite,"ממול, נגדי"
opposition,"התנגדות, אופוזיציה"
oppress,"לדכא, לרדות, להעיק"
oppressed,"מדוכא, נמצא תחת דיכוי"
oppression,"דיכוי, מועקה, עריצות"
oppressor,"רודן, עריץ, מדכא"
opt,"לבחור, להעדיף"
oral,"בעל-פה; קשור לפה, אוראלי"
orbit,"מסלול; לנוע במסלול סביב-, להקיף"
ordain,להסמיך
ordeal,"חוויה קשה, מבחן קשה, סבל רב"
order,להזמין; לצוות; הוראה; סדר
ordinary,רגיל
organization,ארגון; איגוד
organize,"לארגן, לסדר"
orient,לכוון; להתמצא; מזרח
oriental,"מזרחי, אוריינטאלי"
orientation,"אוריינטציה, התמצאות, מגמה"
origin,"מוצא, מקור"
original,"מקורי, אורגינלי"
originate,"לנבוע מ-, להתחיל, להיווצר"
ornament,קישוט
ornamental,קישוטי
orphan,יתום
orphanage,בית יתומים
ought to,"צריך, חייב"
outbreak,התפרצות (למשל של מגיפה)
outburst,התפרצות (למשל של צחוק או של זעם)
outcast,"מנודה, מוחרם"
outcome,תוצאה
outdated,מיושן
outdo,להצליח יותר מ-
outer,חיצוני
outgrow,"לגדול מעבר למימדים של משהו, להיגמל מ- או לנטוש הרגל"
outlaw,"אדם מחוץ לחוק, פושע; להוציא מחוץ לחוק"
outlet,מוצא; פורקן
outline,"לתאר בקווים כלליים; מתאר, קו חיצוני, תרשים"
outlook,"סיכוי, תחזית; השקפה"
outnumber,לעלות במספר על
outrage,"שערורייה, פגיעה מזעזעת"
outrageous,"שערורייתי, מזעזע"
outright,מוחלט
outskirts,"פרברים, מבואות/פאתי העיר"
outstanding,"מצוין, בולט"
outweigh,לעלות במשקלו/בחשיבותו על-
outwit,להערים על
overcome,"להתגבר, לגבור, להכריע"
overdose,מנת יתר
overdue,"מאחר, שמועדו כבר עבר"
overlap,לחפוף; חפיפה
overlook,"להשקיף אל; להעלים עין, להתעלם"
overpower,"להכניע, להשתלט על"
override,"להתעלם מ-, לבטל, לדחות"
overrule,לפסוק נגד; לבטל
overseas,"מעבר לים, בחו""ל"
oversee,"לפקח, להשגיח"
oversight,"השמטה, התעלמות בשוגג"
overtake,"לעקוף, להשיג"
overthrow,להפיל
overwhelm,"להכניע, למגר; להמם"
overwhelmed,המום
overwhelming,"מכריע, מוחץ; מדהים, מהמם"
owe,להיות חייב
own,להיות הבעלים של-; שלבֿ
owner,"בעלים, בעל"
ownership,בעלות
pace,לפסוע; צעד; קצב
pacify,"להרגיע, להשקיט, לפייס"
pain,כאב
painful,"כואב, מכאיב"
painstaking,"שקדני, מאומץ"
pair,"צמד, זוג"
pale,חיוור
pant,להתנשף
parade,"תהלוכה, מצעד; לצעוד במצעד"
parallel,מקביל
paralysis,שיתוק
paralyze,לשתק
paramount,"עליון, חשוב ביותר"
pardon,"לחנון; חנינה; למחול, לסלוח; מחילה, סליחה"
part,"חלק; להפריד, לחלק; להיפרד"
partake of,"להשתתף ב-, להצטרף (אליו) ל-"
partial,"חלקי; משוחד, נוטה לטובת"
participant,משתתף
participate,להשתתף
participation,השתתפות
particle,"חלקיק, גרגיר"
particular,מסוים; מיוחד
partition,"חלוקה,מחיצה"
partly,"חלקית, במידה מסוימת"
passion,"תשוקה, תאווה, להט"
passionate,"נלהב, מלא תשוקה"
passive,"פסיבי, סביל"
pastime,"תחביב, צורת בילוי, עיסוק מהנה"
patch,להטליא; טלאי
paternal,אבהי; מצד האב
path,"שביל, דרך; נתיב, מסלול"
pathetic,"פתטי, מעורר רחמים, עלוב"
patient,"חולה, פציינט; סבלני"
patriarch,ראש משפחה או שבט
patronize,להתנשא
pattern,"דוגמה, דפוס, תבנית"
pause,להפסיק לרגע; הפסקה קצרה
pavement,מדרכה
paw,כף רגל של בעל חיים
peaceful,"שֵלו, שקט; אוהב שלום"
peak,"פסגה, שיא"
peasant,"איכר, כפרי המילה באנגלית מתייחסת לעובד אדמה עני."
pebble,חלוק אבן
peculiar,"מוזר; מיוחד, ייחודי"
peculiarity,תכונה ייחודית
peddle,לעסוק ברוכלות
pedestrian,הולך רגל
peek,להציץ
peep,להציץ
peer,בן גילו של
penalize,להעניש
penalty,"עונש, קנס"
pending,תלוי ועומד
penetrate,לחדור
penetration,חדירה
perceive,"להבחין ב-, להרגיש"
percent,אחוז
percentage,"אחוז, חלק"
perception,"תפיסה, תחושה"
perceptive,"מהיר תפיסה, בעל הבחנה דקה"
perfect,"לשכלל, לשפר; מושלם, ללא פגם"
perfection,"שלמות, שכלול"
perform,"לבצע, לעשות; לשחק, להופיע"
performance,"הופעה; ביצוע, עשייה"
perhaps,"אולי, יתכן"
peril,סכנה
perilous,מסוכן
period,תקופה; נקודה
periodic,תקופתי; מחזורי
perish,"למות, להישמד"
permanent,"תמידי, קבוע"
permeate,"לחדור, לחלחל, להתפשט בכל-"
permission,רשות; היתר
permit,"להרשות, להתיר"
permit,"רישיון, היתר"
perpetual,"נצחי, תמידי, לא נפסק"
perpetuate,להנציח
persecute,"לרדוף, להציק"
persecution,רדיפה
perseverance,"התמדה, כושר עמידה"
persevere,להתמיד
persist,להתעקש; להתמיד; להמשיך
persistent,"עקשן, מתמיד, בלתי נלאה; מתמשך, עקשני"
personal,"אישי, פרטי"
personality,אישיות
perspective,"נקודת מבט, פרספקטיבה"
persuade,לשכנע
persuasion,שכנוע
persuasive,משכנע
pertinent,"רלוונטי, נוגע לעניין, שייך"
pervade,"להתפשט בכל, למלא, לחדור ל-"
pervasive,"מתפשט בכל מקום, חודר לכל מקום"
petrol,"דלק, בנזין"
pharmacist,רוקח
pharmacy,בית מרקחת
phase,שלב
phenomena,"תופעות, דברים/אנשים בלתי רגילים"
phenomenon,"תופעה, דבר/אדם בלתי רגיל (צורת הרבים: phenomena)"
philanthropy,"נדבנות, אהבת הבריות, פילנטרופיה"
phrase,"לנסח, להביע; ביטוי, צירוף מילים"
physical,פיזי; גשמי; גופני
pile,ערימה; לערום
pillar,עמוד
pioneer,חלוץ
pit,בבֿר; גלעין
pitiful,מעורר רחמים; עלוב
pity,לרחם; רחמים
placid,"שליו, שקט, רוגע"
plague,"מגיפה; להציק, להטריד (הערה: המילים plague ו- epidemic"
plain,"מישור; חלק; פשוט, רגיל; ברור"
plank,קרש שטוח
platter,מגש
plausible,"סביר, מתקבל על הדעת"
plea,"בקשה ל-, קריאה"
plead,"לטעון; להתחנן, להפציר"
pleasant,"נעים, מהנה"
please,להשביע רצון
pleasure,"עונג, הנאה, תענוג"
pledge,"להבטיח, להתחייב"
plentiful,"נמצא בשפע, רב"
plenty,הרבה; די והותר
plight,"צרה, מצב קשה, מצוקה"
plot,"עלילה; מזימה; לרקום מזימה, לקשור קשר"
plow,לחרוש; מחרשה
poison,
poisonous,"רעיל, ארסי"
poke,"לתחוב, לתקוע, לנעוץ"
pole,"קוטב; עמוד, מוט"
policy,"מדיניות; פוליסה, תעודת ביטוח"
polish,"להבריק, לצחצח"
polite,"מנומס, אדיב"
poll,סקר דעת קהל
pollute,לזהם
pollution,זיהום
ponder,להרהר
poor,"עני; דל, עלוב"
popular,"פופולרי, מקובל, אהוב"
popularity,"פופולריות, מקובלות, אהדת הציבור"
population,אוכלוסיה
porous,נקבובי
port,נמל
portable,"נייד, מיטלטל, נישא"
porter,סבּל
portion,"חלק, מנה; לחלק בין, להקציב"
portray,"לתאר, להציג; לצייר; לגלם דמות"
pose,"תנוחה, פוזה; לעמוד בפוזה; לעורר, להעלות"
position,מיקום; מצב; עמדה; משרה; מעמד
positive,חיובי
possess,להיות בעלים של
possession,"בעלות, רכוש, שליטה, חזקה"
possibility,אפשרות
possible,אפשרי
postpone,לדחות
posture,"יציבה, תנוחה"
poverty,עוני
power,כוח
powerful,"רב עוצמה, חזק"
practical,"מעשי, שימושי, פרקטי"
practice,"לתרגל, להתאמן; לנהוג עפ""י- ; לעסוק ב-; אימון, תרגול; נוהג,מנהג"
practise,"לעסוק ב-; לנהוג עפ""י; לתרגל,להתאמן"
praise,"לשבח, להלל; שַבח"
precaution,אמצעי זהירות
precede,"לבוא לפני, להיות קודם"
precedent,תקדים
precious,"יקר, בעל ערך רב"
precise,מדויק; דייקן
precision,דיוק
predict,"לנבא, לחזות"
prediction,"ניבוי, חיזוי"
predominant,"שולט, בולט"
predominantly,"בעיקר, ברובו, במידה ניכרת"
preface,"הקדמה, מבוא"
prefer,להעדיף
preferable,עדיף
preference,העדפה; עדיפות
prejudice,דעה קדומה
preliminary,מקדמי
premature,"לפני הזמן, מוקדם מדי"
premise,הנחת יסוד
premises,"חצר, שטח, מקום, אתר"
preparation,הכנה
prepare,להכין; להתכונן
preposterous,"מגוחך, שערורייתי, אבסורדי"
prerequisite,תנאי מוקדם
prescribe,"לרשום מרשם, להמליץ"
prescription,מרשם
presence,נוכחות
present,"להציג, להגיש, להעניק"
present,זמן הווה; מתנה; עכשווי; נוכח
preservation,"שימור, שמירה על"
preserve,"לשמר, לשמור על"
press,ללחוץ; עיתונות
pressure,ללחוץ; לחץ
prestigious,יוקרתי
presume,"לחשוב, להניח (הנחה)"
presumption,הנחה
pretence,יומרה; העמדת פנים
pretend,להעמיד פנים; להתיימר להיות
prevail,"לנצח, לגבור"
prevailing,"שכיח, נפוץ, רבֿוח"
prevalent,"שכיח, נפוץ, רבֿוח"
prevent,"למנוע, לעכב"
preview,"הצגה מוקדמת, תצוגה מקדימה"
previous,קודם
prey,לטרוף; טרף
pride,"גאווה, יהירות"
primarily,"בעיקר, בראש ובראשונה"
primary,"ראשוני, עיקרי"
prime,"ראשי, עיקרי; מצוין, מובחר"
principal,"ראשי, עיקרי; מנהל (בית ספר)"
principle,עקרון
prior,"קודם, לפני"
priority,"עדיפות, זכות קדימה"
prison,"בית סוהר, כלא"
prisoner,אסיר
privacy,"פרטיות, צנעה"
private,פרטי
privilege,"זכות יתר, פריבילגיה"
privileged,"שנהנה מזכויות יתר, מיוחס"
prize,"להוקיר, להעריך; פרס"
probable,"סביר, קרוב לוודאי"
probably,"כפי הנראה, קרוב לוודאי"
probe,"לחקור, לבדוק, לבחון"
problem,בעיה
procedure,"נוהל, הליך, פרוצדורה"
proceed,להמשיך ב-; להתקדם
process,"לעבד, להכין; תהליך"
proclaim,"להכריז, להצהיר"
proclamation,"הצהרה, הכרזה"
produce,"לייצר, להפיק; לגרום ל-; תוצרת, יבול"
product,מוצר; תוצר
production,ייצור; תפוקה; הפקה
productive,"פורה, יצרני, פרודוקטיבי"
profession,מקצוע
professional,מקצוען; מקצועי
proficiency,"מיומנות, מומחיות"
proficient,"מיומן, מומחה"
profit,"להרוויח, להפיק תועלת; רווח, תועלת"
profound,עמוק; מעמיק
program,לתכנת; תוכנית
progress,להתקדם; התקדמות; קידמה
prohibit,לאסור על
prohibition,איסור
project,"פרויקט, תכנית; להקרין; לשגר"
projection,"הקרנה; שיגור; תחזית, צפי"
prolific,פורה
prolong,להאריך
prominent,"בולט; חשוב, ידוע"
promise,להבטיח; הבטחה
promote,"לקדם, לטפח, לעודד; להעלות בדרגה"
promotion,"קידום, טיפוח, עידוד; העלאה בדרגה"
prompt,"מיידי, מהיר"
prone,"מוּעד ל-, נוטה ל-"
pronounce,לבטא
pronunciation,"היגוי, מבטא"
proof,הוכחה; חסין מפני
propel,"להניע קדימה, לדחוף"
propeller,"מדחף, פרופלור"
proper,"הולם, מתאים"
property,"נכס, רכוש; תכונה"
prophecy,נבואה
prophet,נביא
proposal,הצעה
propose,להציע
proposition,הצעה
prosecute,"לתבוע, להעמיד לדין"
prosecution,תביעה; העמדה לדין
prospect,"סיכוי, תקווה; אפשרות סבירה"
prosper,"לשגשג, להצליח"
prosperity,"שגשוג, הצלחה"
protect,"להגן, לשמור"
protection,הגנה
protest,למחות; מחאה
protrude,לבלוט; להבליט
proud,"גאה, יהיר"
prove,להוכיח; להתברר
provide,"לספק, לתת"
provided that,בתנאי ש-
province,מחוז
provincial,"פרובינציאלי, רחוק ממרכז העניינים"
provision,אספקה
provoke,"לעורר, לגרום ל-; להתגרות, להרגיז, לעשות פרובוקציה"
proximity,"קירבה, סמיכות"
pry,"לחטט, להתערב בענייני הזולת"
public,"ציבור, קהל; ציבורי"
publication,הוצאה לאור; כתב-עת
publicity,פרסום
publish,לפרסם; להוציא לאור
pulse,"לפעום; דופק, פעימת-לב"
punctual,"דייקן, מדייק"
punctuality,"דיוק, דייקנות"
punish,להעניש
punishment,עונש
purchase,"לרכוש, לקנות; רכישה, קנייה"
pure,"צח, טהור; נקי, צלול"
purely,"לגמרי, אך ורק, באופן טהור"
purity,"טוהר, זכות"
purpose,"כוונה, תכלית, מטרה"
pursue,לרדוף אחרי; לעסוק ב-
pursuit,"מרדף, רדיפה; עיסוק"
qualification,"הכשרה, הסמכה; סייג"
qualify,"להכשיר, להסמיך; לעמוד בדרישות; לסייג"
quality,"איכות; תכונה, סגולה"
quantity,כמות
quarrel,לריב; ריב
quarter,רבע; רובע
queer,"משונה, מוזר"
query,"שאלה, ספק"
quest,לחפש; מסע חיפוש
question,"שאלה; לשאול, לחקור; לפקפק ב-"
questionable,"מוטל בספק, מפוקפק"
queue,תור; לעמוד בתור
quiet,שׁקט; שקט
quite,"בהחלט, לגמרי; למדי, די"
quiz,"לבחון; חידון, בוחן"
quote,לצטט
race,"להתחרות; תחרות, מירוץ; גזע"
racial,גזעי; גזעני
racism,גזענות
racist,גזען; גזעני
racket,"רעש, המולה"
radiant,"זוהר, קורן"
radiate,"להקרין, לקרון"
radical,"רדיקלי, קיצוני"
rage,לכעוס מאוד; זעם
raid,פשיטה; לערוך פשיטה על
raise,להעלות; להרים; לגדל
ramification,"השלכות, תוצאות"
rampage,להשתולל
rampant,משתולל; נפוץ
random,"מקרי, אקראי"
range,טווח; רכס
rank,לדרג; דרגה
ransom,"כופר, פדיון נפש"
rapid,מהיר
rare,"נדיר; נא, לא מבושל"
rarity,"נדירות, דבר נדיר"
rash,"פזיז, נמהר"
rate,"לדרג, להעריך; שיעור, קצב; תעריף, מחיר"
ration,להקציב; מנה
rational,"הגיוני, סביר, רציונלי"
rationalize,"לנמק, לבסס על הגיון"
rattle,"להקיש, לנקוש, לטרטר"
raw,"נא, לא מבושל; גולמי"
react,להגיב
reaction,"תגובה; ריאקציה, חזרה למצב קודם"
reactionary,"ריאקציונרי, מתנגד לקידמה"
reality,מציאות
realize,"להבין; לממש, להגשים"
realm,ממלכה; תחום
reap,"לקצור, לאסוף"
rear,אחורי; חלק אחורי
reason,סיבה; תבונה
reasonable,"הגיוני, סביר"
rebel,למרוד
rebel,מורד
rebellion,"מרד, התקוממות"
rebuke,"לנזוף, לגעור"
recall,"לזכור, להיזכר; להחזיר"
receipt,קבלה
receive,לקבל
recent,שאירע לאחרונה
reception,קבלת-פנים; קבלה; קליטה
receptive,"פתוח לרעיונות, מוכן לקבל"
recession,"מיתון, שפל"
recipient,מקבל
reciprocal,הדדי
recite,"לדקלם; למנות, לפרט"
reckless,"פזיז, לא זהיר"
reckon,"לחשוב, להחשיב; לשער"
reclaim,לדרוש בחזרה
recline,"להישען לאחור, לשכב; להשעין, להניח"
recognition,"הכרה, זיהוי"
recognize,"להכיר, לזהות"
recollect,"לזכור, להיזכר"
recommend,להמליץ
recommendation,המלצה
reconcile,לפייס; להשלים עם; ליישב
reconciliation,"התפייסות, פיוס"
record,"לרשום, להקליט"
record,"שיא; רישום, רשומה"
recount,לספור מחדש; לספר
recover,"להחלים, להתאושש; לקבל חזרה"
recovery,"הבראה, התאוששות; קבלה בחזרה"
recreation,"בילוי, שעשועים, פעילות מהנה"
recruit,לגייס
recruitment,גיוס
recuperate,"להחלים, להבריא, להתאושש"
recur,"לקרות שוב, להישנות"
recurrent,חוזר ונשנה
recycle,למחזר
redeem,לפדות; לגאול; לכפר
redemption,פדיון; גאולה
reduce,"להפחית, לצמצם, להקטין"
reduction,"הפחתה, הקטנה, צמצום"
redundant,"מיותר, עודף"
refer,להתייחס; לייחס; להפנות
reference,"התייחסות, הפניה, אזכור"
refine,לזקק; לזכך; לעדן; ללטש
reflect,לשקף; להשתקף
reflection,"השתקפות, בבואה"
reform,"לתקן; תיקון, רפורמה"
refrain,להימנע מ-
refresh,לרענן
refreshment,כיבוד; התרעננות
refrigerate,"לקרר, לשמור בקירור"
refrigerator,מקרר
refuge,"מחסה, מפלט"
refugee,פליט
refund,להחזיר את הכסף; החזר כספי
refusal,סירוב
refuse,לסרב
refute,"להפריך, לסתור"
regard,"לראות ב-, להתייחס אל"
regardless,בלי להתחשב ב-
regenerate,להפיח חיים; להתחדש
regime,משטר
region,"אזור, תחום"
regional,אזורי
register,לרשום; להירשם
registration,רישום; הרשמה; מרשם
regress,"לסגת, לחזור למצב קודם"
regression,"נסיגה, רגרסיה"
regret,"להתחרט, להצטער; חרטה, צער"
regular,"רגיל, סדיר, קבוע"
regularity,"סדירות, קביעות"
regulate,"להסדיר; לווסת, לכוון"
regulation,"תקנה; ויסות, כיוון, הסדרה"
rehabilitation,שיקום
rehearsal,חזרה
rehearse,"לעשות חזרה, להתאמן לקראת"
reign,תקופת שלטון; לשלוט
reinforce,"לחזק, לתגבר"
reinforcement,"חיזוק, תגבור, תגבורת"
reinstate,להשיב על כנו; להחזיר למעמדו/לתפקידו הקודם
reject,"לדחות, לפסול, לא לקבל"
rejection,"דחייה, סירוב, פסילה"
relapse,"להידרדר, לחזור לסורו; הידרדרות, הרעה במצב"
relate,"להתייחס, להיות קשור; לספר"
relation,"קשר, זיקה, יחס"
relationship,"קשר, זיקה; מערכת יחסים"
relative,קרוב משפחה; יחסי
relax,"להירגע, להרפות"
relaxation,"רגיעה, הרפיה"
release,לשחרר; שחרור
relent,"להתרכך, לגלות רחמים"
relentless,"חסר רחמים, אכזרי"
relevance,שייכות לעניין
relevant,"שייך לעניין, רלוונטי"
reliable,"אמין, מהימן"
relic,"שריד, מזכרת"
relief,הקלה
relieve,להקל על
religion,"דת, אמונה"
religious,דתי
relinquish,"לוותר על, לזנוח"
relocate,"להעביר, למקם במקום אחר"
reluctance,אי-רצון
reluctant,"לא רוצה, לא שש ל-"
rely,לסמוך על
remain,להישאר
remains,"שרידים, שיירים"
remark,"להעיר, לומר; הערה"
remarkable,"בלתי רגיל, יוצא מן הכלל, ראוי לציון"
remedy,"לתקן; פתרון, תרופה, סעד"
remember,לזכור
remind,להזכיר
reminder,תזכורת
reminiscence,זכרונות
remorse,חרטה עמוקה
remote,"מרוחק, רחוק"
removal,"הורדה, הסרה"
remove,"להוריד, להסיר"
renounce,"להתכחש ל-, לוותר על"
renovate,"לשפץ, לחדש"
renowned,מפורסם
rent,לשכור; להשכיר; שכר דירה
renunciation,התכחשות; ויתור
repair,לתקן; תיקון
repeat,"לחזור על, להישנות"
repel,"לדחות, להדוף; לעורר דחייה, להגעיל"
repent,"להתחרט, להכות על חטא"
repetition,"חזרה, הישנות"
replace,להחליף; לבוא במקום; להחזיר למקום
replacement,"החלפה; מחליף, תחליף"
reply,להשיב; תשובה
report,"לדווח; דיווח, דו""ח"
represent,לייצג; לסמל
representation,ייצוג
representative,"נציג; ייצוגי, מייצג"
repress,לדכא; להדחיק
reprimand,לנזוף ב-; נזיפה
reproach,לנזוף; נזיפה
reproduce,"לשעתק, לשחזר; להתרבות"
reproduction,"שיעתוק, שיחזור, רפרודוקציה; התרבות"
repulsive,"דוחה, מגעיל"
reputation,"מוניטין, שם"
reputed,"נחשב ל-, ידוע כ-"
request,"לבקש; בקשה, משאלה"
require,להיות זקוק ל-; לדרוש
requirement,דרישה
rescue,"להציל, לחלץ; הצלה, חילוץ"
research,לחקור; מחקר
resemblance,דמיון
resemble,להיות דומה ל-
resent,"להתרעם על, לכעוס על"
resentful,"מלא תרעומת, כועס"
resentment,"תרעומת, כעס"
reservation,הסתייגות; הזמנה מראש
reserve,"לשמור, לייעד; להזמין מראש; רזרבה"
residence,"מגורים, בית"
resign,להתפטר
resignation,התפטרות
resist,"לעמוד בפני-, להתנגד"
resistance,התנגדות; מחתרת
resolve,"לפתור, ליישב; להחליט, לגמור אומר; החלטה נחושה"
resort,"להשתמש ב- , להיזקק ל-; מקום נופש"
resource,משאב
resourceful,רב תושייה
respect,"לכבד; כבוד, הוקרה; התחשבות, יחס כבוד"
respectable,"מכובד, הגון"
respectful,רוחש כבוד
respond,להגיב; להשיב
response,תגובה; תשובה
responsibility,אחריות
responsible,אחראי
restoration,"שיחזור, שיקום; החזרה"
restore,"לשקם, לשחזר; להחזיר"
restrain,"לרסן, לעצור בעד"
restraint,"ריסון, איפוק; הגבלה, אילוץ"
restrict,"להגביל, לצמצם"
restriction,"הגבלה, מגבלה"
result,לנבוע מ-; להביא לידי-; תוצאה
resume,"לחדש, להמשיך ב-, להתחיל שוב"
retain,"לשמור על, להחזיק ב-"
retaliate,"לגמול, לנקום, להגיב בפעולת תגמול"
retard,"לעכב, להפריע ל-"
retarded,מפגר
retire,לפרושׁ
retirement,פרישׁה
retract,לחזור בו מ-; לסגת
retreat,לסגת; נסיגה
retrieve,לקבל/להשיג בחזרה
retrospective,במבט לאחור
return,להחזיר; לחזור
reveal,"לגלות, לחשוף"
revenge,לנקום; נקמה
revenue,"הכנסה, פדיון"
reversal,היפוך; ביטול
reverse,"הפוך; ההיפך; להפוך, לשנות כיוון; לבטל; לנסוע לאחור"
revert,לחזור למצב הקודם
review,"לסקור, לבחון; סקירה, בחינה"
revise,"לתקן, לשנות"
revision,"שינוי, תיקון"
revive,"לחזור לחיים; להחזיר לחיים; להתעורר, להתאושש; לחדש"
revoke,לבטל; לשלול
revolt,"למרוד; מרד, התקוממות"
revolution,"מהפכה, הפיכה"
revolutionary,מהפכן; מהפכני
revolve,להסתובב סביב-
reward,"לגמול, לתגמל; פרס, גמול"
rhythm,"קצב, מקצב"
rich,"עשיר; עשיר ב-, מלא ב-"
riches,עושר
riddle,חידה
ridicule,"ללעוג; לעג, צחוק"
ridiculous,מגוחך
righteous,"צדיק, ישר"
rigid,"קשיח, נוקשה"
riot,"להתפרע; מהומה, התפרעות"
ripe,בּשל
ripen,להבשיל
rise,"לעלות; לקום, להתרומם"
risk,"לסכן; להסתכן; סיכון, סכנה"
ritual,"פולחן, מנהג קבוע, טקס, ריטואל"
rival,"יריב, מתחרה"
rivalry,יריבוּת
roam,"לשוטט, לנדוד"
roar,לשאוג; שאגה
rob,"לשדוד, לגזול"
robbery,שוד
rocket,טיל
rod,"מוט, מקל"
role,תפקיד
roll,לגלגל; להתגלגל; גליל; גלגול
root,"שורש; מקור, בסיס"
rotate,"לסובב; להסתובב; להתחלף, לעשות רוטציה"
rough,"מחוספס; סוער, קשה"
roughly,בערך
